INFO - Client a into the chat!
ERROR - Client a out the chat!
INFO - Client a into the chat!
INFO - Client a out the chat!
INFO - Client test1 into the chat!
INFO - Client test1 out the chat!
INFO - Client 11 into the chat! 2018-10-22T16:44:52.178
INFO - Client 11 out the chat! 2018-10-22T16:44:52.581
INFO - Client 11 into the chat! 2018-10-22T16:46:23.038
INFO - Client 11 out the chat! 2018-10-22T16:46:23.569
INFO - Client 11 into the chat! 2018-10-22T16:48:56.339
INFO - Client 11 out the chat! 2018-10-22T16:49:05.917
INFO - Client 11 into the chat! 2018-10-22T16:50:43.712
INFO - Client 11 out the chat! 2018-10-22T16:50:48.316
INFO - Client 11 into the chat! 2018-10-22T16:51:59.613
INFO - Client 11 out the chat! 2018-10-22T16:52:05.491
INFO - Client 11 into the chat! 2018-10-22T16:54:40.171
INFO - Client 11 out the chat! 2018-10-22T16:54:45.474
INFO - Client 11 into the chat! 2018-10-22T16:55:02.496
INFO - Client 11 out the chat! 2018-10-22T16:55:06.386
INFO - Client 11 into the chat! 2018-10-22T16:55:28.050
INFO - Client 11 out the chat! 2018-10-22T16:55:32.642
INFO - Client 11 into the chat! 2018-10-22T16:57:12.807
INFO - Client 11 out the chat! 2018-10-22T16:57:23.776
INFO - Client 11 into the chat! 2018-10-22T16:58:34.443
INFO - Client 11 out the chat! 2018-10-22T16:58:37.747
INFO - Client 11 into the chat! 2018-10-22T16:59:41.041
INFO - Client 11 out the chat! 2018-10-22T16:59:46.445
INFO - Client 11 into the chat! 2018-10-22T16:59:53.873
INFO - Client 11 out the chat! 2018-10-22T17:00:00.434
INFO - Client 11 into the chat! 2018-10-22T21:23:23.629
INFO - Client 11 out the chat! 2018-10-22T21:23:29.429
INFO - Client 11 into the chat! 2018-10-22T21:26:03.521
INFO - Client 11 out the chat! 2018-10-22T21:26:09.529
INFO - Client 11 into the chat! 2018-10-22T21:26:54.384
INFO - Client 11 out the chat! 2018-10-22T21:26:58.454
INFO - Client 11 into the chat! 2018-10-22T21:28:07.189
INFO - Client 11 out the chat! 2018-10-22T21:28:12.934
INFO - Client 11 into the chat! 2018-10-22T21:28:29.985
INFO - Client 11 out the chat! 2018-10-22T21:28:36.308
INFO - Client 11 into the chat! 2018-10-22T21:28:59.575
INFO - Client 11 out the chat! 2018-10-22T21:29:04.310
INFO - Client 11 into the chat! 2018-10-22T21:29:43.426
INFO - Client 11 out the chat! 2018-10-22T21:29:50.525
INFO - Client 11 into the chat! 2018-10-22T21:31:44.107
INFO - Client 11 out the chat! 2018-10-22T21:31:56.655
INFO - Client 11 into the chat! 2018-10-22T21:34:22.678
INFO - Client 11 out the chat! 2018-10-22T21:34:29.779
INFO - Client 11 into the chat! 2018-10-22T21:34:52.416
INFO - Client 11 out the chat! 2018-10-22T21:34:59.229
INFO - Client 11 into the chat! 2018-10-22T21:40:15.152
INFO - Client 11 out the chat! 2018-10-22T21:41:56.094
INFO - Client 11 into the chat! 2018-10-22T21:43:37.293
INFO - Client 11 out the chat! 2018-10-22T21:43:45.713
INFO - Client 11 into the chat! 2018-10-22T21:43:55.537
INFO - Client 11 out the chat! 2018-10-22T21:43:59.588
INFO - Client 11 into the chat! 2018-10-22T21:44:59.178
INFO - Client 11 out the chat! 2018-10-22T21:45:07.784
INFO - Client 11 into the chat! 2018-10-22T21:45:26.978
INFO - Client 11 out the chat! 2018-10-22T21:51:52.457
INFO - Client 11 into the chat! 2018-10-22T21:52:02.924
INFO - Client 11 out the chat! 2018-10-22T21:52:32.922
INFO - Client 11 into the chat! 2018-10-22T21:52:49.409
INFO - Client 11 out the chat! 2018-10-22T21:58:33.565
INFO - Client 11 into the chat! 2018-10-22T22:00:06.720
INFO - Client 11 out the chat! 2018-10-22T22:00:17.126
INFO - Client 11 into the chat! 2018-10-22T22:01:23.070
INFO - Client 11 out the chat! 2018-10-22T22:01:26.981
INFO - Client 11 into the chat! 2018-10-22T22:02:06.054
INFO - Client 11 out the chat! 2018-10-22T22:02:09.061
INFO - Client 11 into the chat! 2018-10-22T22:04:04.414
INFO - Client 11 out the chat! 2018-10-22T22:08:07.780
INFO - Client 11 into the chat! 2018-10-22T22:08:14.888
INFO - Client 11 out the chat! 2018-10-22T22:09:01.012
INFO - Client 11 into the chat! 2018-10-22T22:11:03.404
INFO - Client 11 out the chat! 2018-10-22T22:11:08.536
INFO - Client 11 into the chat! 2018-10-22T22:11:18.457
INFO - Client 11 out the chat! 2018-10-22T22:11:27.229
INFO - Client 11 into the chat! 2018-10-22T22:13:11.898
INFO - Client 11 out the chat! 2018-10-22T22:13:17.242
INFO - Client 11 into the chat! 2018-10-22T22:16:52.983
INFO - Client 11 out the chat! 2018-10-22T22:17:14.534
INFO - Client 11 into the chat! 2018-10-22T22:17:22.205
INFO - Client 11 into the chat! 2018-10-23T18:23:33.466
INFO - Client 11 out the chat! 2018-10-23T18:23:45.141
